                                      Analysis of Social Media Presence of Ethiopian Politically Exposed Persons (PEPs)  ,,,,,,,,
Name (English),Position,Source,X (Twitter) Link,Verified X (Twitter) Account (Yes/No),Facebook Link,Verified Facebook Account (Yes/No),Confidence,Notes
 Abiy Ahmed Ali,Prime Minister of the Federal Democratic Republic of Ethiopia,Official X account linked from government page,https://x.com/AbiyAhmedAli?s=20,Yes,https://web.facebook.com/PMAbiyAhmedAli,Yes,High,"Account has verified badge, posts official government updates, widely referenced in news."
Adanech Abiebie,Mayor of Addis Ababa,Addis Ababa City Government / Mayor’s Office / Official website (addismayor.gov.et),https://x.com/AdanechAbiebie?s=20,Yes,https://web.facebook.com/OfficialAdanechAbiebie,Yes,High,"Username matches official title, content includes government updates, high follower count, and aligns with official communication channels."
Berhanu Nega ,Minister of Education of Ethiopia,FDRE Ministry of Education,https://x.com/BerhanuNegaB?s=20,Yes,None found (no official page identified),No,Medium,Account exists but lacks verification badge. No confirmed official Facebook presence found. Identity requires additional confirmation from government or ministry sources.
Taye Atske Selassie,President of Ethiopia,"Government communication channels (Ministry of Foreign Affairs, Ethiopian Television)",https://x.com/TayeAtske?s=20,Yes,No verified personal account found,No,Medium,"No verified personal Facebook account was identified for Taye Atske Selassie. Public updates, photos, and official communications about his activities are shared through government channels, including the Ministry of Foreign Affairs of Ethiopia and Ethiopian Television (ETV)."
Temesgen Tiruneh,Deputy Prime Minister of Ethiopia,Office of the Prime Minister official website (cross-referenced social media accounts),https://x.com/TemesgenTiru?s=20,Yes,https://web.facebook.com/Temesegen.TirunehOfficial,Yes,High,Social media accounts were cross-checked with official government website references and show consistent activity related to the individual’s role.
Gedion Timothewos Hessebon,Minister of Foreign Affairs of Ethiopia,"Official government communication channels (Ministry of Foreign Affairs, embassy pages)",https://x.com/GHessebon?s=20,Yes,No verified personal account found,No,Medium,X account matches the individual’s identity and posts consistent official content. No personal Facebook account identified activities are communicated through official Ministry of Foreign Affairs and embassy Facebook pages.
Abraham Belay,Minister of Irrigation and Lowlands of Ethiopia,Official government records / credible public sources,https://x.com/AbrahamPostDoc?s=20,Uncertain,https://web.facebook.com/AbrahamBelayOfficial,Yes,High,"Current position confirmed through official government sources individual has held multiple senior federal roles including Minister of Defense and Minister of Innovation and Technology. An X account was identified, but the username and profile details do not clearly align with the individual’s official role, and no confirmation from authoritative sources was found."
Hanna Arayaselassie,Minister of Justice,FDRE Ministry of Justice official website and social media channels,No verified personal account found,Yes,No verified personal account found,Yes,High,"No verified personal X (Twitter) or Facebook accounts were identified for Hanna Arayaselassie Zemichael. Public communications, activities, and official updates are disseminated through institutional channels, primarily the FDRE Ministry of Justice’s official social media accounts. A professional LinkedIn profile exists under her full name."
Mekdes Daba,Minister of Health of Ethiopia,Ministry of Health official communication channels and institutional platforms,https://x.com/MekdesDaba?s=20,Yes,No verified personal account found,Yes,High,"An X (Twitter) account was identified for Mekdes Daba under the handle @MekdesDaba, which reflects consistent professional activity aligned with her role as Minister of Health. No verified personal Facebook account was identified her activities are primarily shared through official Ministry of Health and related institutional Facebook pages."
Kadir Juhar Ibrahim,Mayor of Dire Dawa Administration,"Official Facebook page and news media references (e.g., Addis Standard)",No verified personal account found,No,https://www.facebook.com/kadirjuharibrahim/,Yes,Medium,No personal X account identified; mentions of the individual appear mainly through news and media sources rather than an official profile.
